Title,Price,Rating Count,Rating,Delivery Time
"Xbox Core Wireless Gaming Controller – Deep Pink – Xbox Series X|S, Xbox One, Windows PC, Android, and iOS  May 17, 2022",51.,"77,739",4.6,"Tue, Nov 26"
"Gaming Headset for PC, Ps4, Ps5, Xbox Headset with 7.1 Surround Sound, Gaming Headphones with Noise Cancelling Mic RGB Light Over Ear Headphones for Xbox Series X/S, Switch",,"3,880",4.4,
"Casaottima L Shaped Gaming Desk, Corner Desk Gaming Table for Home Office, Computer Desk Sturdy Writing Workstation for Small Space, Easy to Assemble, 51 inch, Carbon Fiber Surface, Black",53.,894,4.5,"Tue, Nov 26"
Logitech G Pro Wireless Gaming Mouse with Esports Grade Performance,,"12,552",4.6,
"Logitech G733 Lightspeed Wireless Gaming Headset with Suspension Headband, Lightsync RGB, Blue VO!CE mic technology and PRO-G audio drivers - Black",,"16,666",4.4,
"Reading Pillow for Gaming, Extra Large Arm Rest Pillow for Adult, Memory Foam Bed Rest Pillow for Reading, Working, Playing Steam Deck Switch or Sitting in Bed Floor Sofa(Grey)",59.,"1,209",4.2,"Tue, Nov 26"
"Razer BlackShark V2 X Gaming Headset: 7.1 Surround Sound - 50mm Drivers - Memory Foam Cushion - For PC, PS4, PS5, Switch - 3.5mm Audio Jack - Black",47.,"19,495",4.5,"Tue, Nov 26"
"Gaming Sock, Do Not Disturb I'm Gaming,Gaming Socks for Teen Boys Gamer with Glowing, Novelty Socks for Men Dad Father Women",6.,401,4.6,"Tue, Nov 26"
"Corsair VOID RGB ELITE Wireless Gaming Headset - 7.1 Surround Sound - Discord Certified - iCUE Compatible - PC, Mac, PS5, PS4 - White",105.,"22,875",4.3,"Tue, Nov 26"
"Sceptre IPS 24” Gaming Monitor 165Hz 144Hz Full HD (1920 x 1080) FreeSync Eye Care FPS RTS DisplayPort HDMI Build-in Speakers, Machine Black 2020 (E248B-FPT168),IPS 24"" 165Hz",122.,"5,385",4.5,"Tue, Nov 26"
"LG UltraGear QHD 27-Inch Gaming Monitor 27GL83A-B - IPS 1ms (GtG), with HDR 10 Compatibility, NVIDIA G-SYNC, and AMD FreeSync, 144Hz, Black",250.,"12,029",4.6,"Tue, Nov 26"
"Paladone Playstation Controller Icons Light with 3 Light Modes - Sound Reactive, Dynamic Phasing, and Standard Mode - Gaming Desk Accessories and Game Room Decor",21.,"35,775",4.7,"Tue, Nov 26"
"Acer Nitro KG241Y Sbiip 23.8” Full HD (1920 x 1080) VA Gaming Monitor | AMD FreeSync Premium Technology | 165Hz Refresh Rate | 1ms (VRB) | ZeroFrame Design | 1 x Display Port 1.2 & 2 x HDMI 2.0,Black",114.,"2,687",4.5,"Tue, Nov 26"
"HyperX Cloud II - Gaming Headset, 7.1 Surround Sound, Memory Foam Ear Pads, Durable Aluminum Frame, Detachable Microphone, Works with PC, PS5, PS4, Xbox Series X|S, Xbox One – Red",,"70,980",4.5,
"Wireless Gaming Headset with Noise Canceling Microphone for PS5, PC, PS4, 2.4G/Bluetooth Gaming Headphones with USB and Type-c Connector, Wired Mode for Controller",25.,"1,419",4.4,"Tue, Nov 26"
"Logitech G305 LIGHTSPEED Wireless Gaming Mouse, Hero 12K Sensor, 12,000 DPI, Lightweight, 6 Programmable Buttons, 250h Battery Life, On-Board Memory, PC/Mac - Black",,"31,380",4.6,
"Logitech G920 Driving Force Racing Wheel and Floor Pedals, Real Force Feedback, Stainless Steel Paddle Shifters, Leather Steering Wheel Cover for Xbox Series X|S, Xbox One, PC, Mac - Black",,"20,851",4.6,
"Logitech G502 Lightspeed Wireless Gaming Mouse with Hero 25K Sensor, PowerPlay Compatible, Tunable Weights and Lightsync RGB - Black",,"12,536",4.6,
"Sceptre 30-inch Curved Gaming Monitor 21:9 2560x1080 Ultra Wide/ Slim HDMI DisplayPort up to 200Hz Build-in Speakers, Metal Black (C305B-200UN1)",180.,"11,981",4.5,"Tue, Nov 26"
"MageGee 75% Mechanical Gaming Keyboard with Blue Switch, LED Blue Backlit Keyboard, 87 Keys Compact TKL Wired Computer Keyboard for Windows Laptop PC Gamer - Blue/White",29.,"3,137",4.2,"Tue, Nov 26"
"AOC 24G15N 24"" Gaming Monitor, Full HD 1920x1080, 180Hz 1ms, 1x HDMI 2.0, 1x Display Port, Adaptive-Sync, 3-Sided Frameless, HDR Ready, Console Gaming Ready, 3-Year Zero-Bright-Dot",109.,"17,799",4.6,"Tue, Nov 26"
"Redragon S101 Gaming Keyboard, M601 Mouse, RGB Backlit Gaming Keyboard, Programmable Backlit Gaming Mouse, Value Combo Set [New Version]",39.,"46,009",4.6,"Tue, Nov 26"
"Acer Nitro 27"" 1500R Curved Full HD PC Gaming Monitor | AMD FreeSync Premium | 240Hz | 1ms VRB | Speakers | HDR10 | ErgoStand | VESA Mounting Compliant | 1 x DP 1.4 & 2 x HDMI 2.0 | XZ270 X2bmiiphx",159.,"2,007",4.6,"Tue, Nov 26"
"Sony INZONE H3, Gaming Headphones With Mic Wired Connection For Uninterrupted Gaming, Ergonomically Designed Controls, Soft Headband And Smooth Nylon Ear Pads, PS5 Headphones, MDR-G300 (White)",,"1,769",4.1,
"Womier S-K80 75% Keyboard with Color Multimedia Display Mechanical Gaming Keyboard, Wired Hot Swappable Keyboard, Gasket Mount RGB Custom Keyboard, Pre-lubed Stabilizer for Mac/Win, Black Kanagawa",69.,540,4.6,"Tue, Nov 26"
"ASUS TUF Gaming NVIDIA GeForce RTX™ 4080 Super OC Edition Gaming Graphics Card (PCIe 4.0, 16GB GDDR6X, HDMI 2.1a, DisplayPort 1.4a)","1,099.",739,4.6,
"ASUS ROG Spatha X Wireless Gaming Mouse (Magnetic Charging Stand, 12 Programmable Buttons, 19,000 DPI, Push-fit Hot Swap Switch Sockets, ROG Micro Switches&Paracord and Aura RGB lighting),Black",124.,"1,213",4.3,"Tue, Nov 26"
"SteelSeries Apex Pro TKL HyperMagnetic Gaming Keyboard - Adjustable Actuation - Esports Tenkeyless - OLED Screen - RGB - PBT Keycaps - USB-C - 2023 Edition,Black",166.,983,4.3,"Tue, Nov 26"
"AULA F75 Pro Wireless Mechanical Keyboard,75% Gasket Hot Swappable Custom Keyboard,RGB Backlit,Pre-lubed Reaper Switches,Side Printed PBT Keycaps,2.4GHz/USB-C/BT5.0 Mechanical Gaming Keyboard",66.,195,4.6,"Tue, Nov 26"
"Acer Nitro 27"" WQHD 2560 x 1440 PC Gaming IPS Monitor | AMD FreeSync Premium Up to 180Hz Refresh 0.5ms DCI-P3 95% 1 Display Port 1.2 & 2 HDMI 2.0 XV271U M3bmiiprx,Black",199.,983,4.5,"Tue, Nov 26"
"Sceptre Curved 24-inch Gaming Monitor 1500R DisplayPort HDMI X2 Eye Care 100% sRGB Build-in Speakers, 1ms 100Hz Machine Black 2024 (C248W-FW100T Series)",93.,"23,107",4.6,"Tue, Nov 26"
Razer DeathAdder Essential Gaming Mouse: 6400 DPI Optical Sensor - 5 Programmable Buttons - Mechanical Switches - Rubber Side Grips - Mercury White,22.,"12,004",4.4,"Tue, Nov 26"
"Rii RK100+ Multiple Color Rainbow LED Backlit Large Size USB Wired Mechanical Feeling Multimedia PC Gaming Keyboard,Office Keyboard for Working or Primer Gaming,Office Device",,"6,853",4.4,
"Hasbro Gaming Jenga Classic Game with Genuine Hardwood Blocks,Stacking Tower Game for 1 or More Players,Kids Ages 6 and Up",7.,"98,843",4.8,"Tue, Nov 26"
